 Td        ID        Tj        Df        Dd        Db
203      2481       173        16        14        30
203      2228        81         0       122       122
203      2233        82         0       121       121
204      2360       121        28        55        83
204      2376       130         0        74        74
204      2413       146         0        58        58
204      2151        55        27       122       149
205      2475       172         3        30        33
205      2309       107         4        94        98
205      2368       122         0        83        83
205      2241        85        46        74       120
206      2379       131         0        75        75
206      2203        76        12       118       130
207      2533       206         0         1         1
207      2381       131        25        51        76
207       508       190         5        12        17
207       338       115        88         4        92
207       537       206         0         1         1
208      2321       108        29        71       100
209      2336       115        26        68        94
209      2251        86         0       123       123
209      2341       115        26        68        94
210       526       201         4         5         9
210      2394       135        17        58        75
210      2224        81        38        91       129
210      2512       191         7        12        19
211      2247        86        47        78       125
211      2513       191         7        13        20
211      2517       191         7        13        20
211       527       201         0        10        10
212      2530       201         0        11        11
212      2457       164        22        26        48
212      4023       212         0         0         0
214      2225        81        12       121       133
214      2490       188         7        19        26
214      2420       150        13        51        64
214      2412       142        13        59        72
214      2264        92        47        75       122
215      2332       114         6        95       101
215      2163        59        32       124       156
215      2580       214         0         1         1
216      2553       210         4         2         6
216      2557       210         4         2         6
217      2400       141         5        71        76
217      2409       142        14        61        75
217      4026       214         0         3         3
218       524       199         4        15        19
219      2507       190        16        13        29
219      2343       117        19        83       102
219      2164        59        33       127       160
220      2510       190        15        15        30
220       510       190         5        25        30
220       548       209         0        11        11
221       540       208         2        11        13
221       572       213         5         3         8
222      2548       209         5         8        13
222      2473       172         7        43        50
222      2482       173        31        18        49
222       489       187         0        35        35
222       512       191         5        26        31
222       499       189         5        28        33
222       515       191         0        31        31
222       493       188         0        34        34
222       339       115         0       107       107
222       344       117         0       105       105
222       517       191         0        31        31
222       349       117         0       105       105
222       585       222         0       222         0
223      2273        94        50        79       129
223       576       214         0         9         9
223       581       214         0         9         9
223       575       214         0         9         9
223       520       199         0        24        24
223       542       208         0        15        15
224      2301       106         3       115       118
225      2453       161         0        64        64
225       532       201         4        20        24
226      2578       214         4         8        12
226      2419       146         0        80        80
227      2503       189        27        11        38
227      2418       146         0        81        81
228      2566       212         3        13        16
228      2604       228         0         0         0
228      2605       228         0         0         0
229      2423       150         2        77        79
229       562       212         1        16        17
230      2444       160         6        64        70
230      2456       164        13        53        66
230      2279        94         0       136       136
231       487       187         0        44        44
231      2589       224         6         1         7
231      2281        95         0       136       136
232      2087        41         0       191       191
232      2613       230         0         2         2
232       549       209        12        11        23
233       615       230         0         3         3
234      2442       160        58        16        74
236      2628       235         0         1         1
237      2286        95         6       136       142
237      2630       237         0         0         0
238      2526       201        14        23        37
238      2275        94         0       144       144
239      2305       106         1       132       133
239      2316       108        20       111       131
240      2523       199        15        26        41
240      2622       234         3         3         6
240       628       235         0         5         5
241       570       213        12        16        28
241      2177        67        33       141       174
242      2597       226         2        14        16
242      2389       132         2       108       110
242      2399       141         3        98       101
242      2424       150         0        92        92
242       642       238         0         4         4
244      2260        92         1       151       152
244      2529       201         2        41        43
244      2303       106        16       122       138
244      2664       244         0         0         0
245      2662       244         0         1         1
245       653       243         0         2         2
246      2520       199         5        42        47
246      2433       156         0        90        90
247      2509       190        28        29        57
247      4050       244         0         3         3
248      2536       206        39         3        42
248      2601       226        16         6        22
248      2493       188         8        52        60
250      2684       249         0         1         1
251       504       189         5        57        62
251      2623       235         7         9        16
252      2599       226         9        17        26
252      2692       251         0         1         1
252       492       188         1        63        64
252       679       247         0         5         5
253      2527       201         9        43        52
253      2096        43         0       210       210
254      2407       142         6       106       112
254      2465       171         2        81        83
254       685       249         0         5         5
255      2522       199        26        30        56
255      2705       255         0         0         0
256      2704       255         0         1         1
258      2093        43         6       209       215
258      2073        36         7       215       222
258      2449       161        96         1        97
259      2451       161         0        98        98
260      2511       191        34        35        69
260      2508       190        22        48        70
261      2452       161         0       100       100
261      4066       259         0         2         2
262      2631       237         3        22        25
262      2691       251         8         3        11
262      2312       107        62        93       155
262      4068       260         0         2         2
262       735       262         0         0         0
263      2570       213         5        45        50
263      2736       263         0         0         0
264       741       263         0         1         1
266      2721       260         1         5         6
268       732       262         3         3         6
268       749       267         0         1         1
269       763       269         0         0         0
270      2314       107         0       163       163
270       619       234         0        36        36
270       636       237         0        33        33
271      2663       244         4        23        27
272      2410       142        11       119       130
273       760       269         0         4         4
273       731       262         3         8        11
273       743       267         0         6         6
275      2647       241         0        34        34
275       694       254         0        21        21
277      2759       269         0         8         8
277       724       260         0        17        17
277       705       255         1        21        22
278      2724       260         0        18        18
280       708       257         0        23        23
280       647       241         0        39        39
280       608       228         0        52        52
281      2495       188        39        54        93
281       696       254         0        27        27
282       771       281         0         1         1
