 Td        ID        Tj        Df        Dd        Db
Percentage of destructed units relative to their count:
Earth Soldiers: 94.9309%
Earth Gunneries: 100%
Earth Tanks: 88.4393%
Heal Units: 100%


For Alien Army:
Total Number of Each Units:
Alien Soldiers: 204
Alien Monsters: 163
Alien Drones: 144

Percentage of destructed units relative to their count:
Alien Soldiers: 56.3725%
Alien Monsters: 32.5153%
Alien Drones: 52.7778%

For Ally Army:
Total Number of Each Units:
Saver Units: 2
Percentage of destructed units relative to their count:
Saver Units: 50%
Percentage of infected soldier: 82.9493%

Total Percentage of destructed units for the 3 armies: 70.8008%
Average of First Attack Delay (Df): 1.87586
Average of Destruction Delay (Dd): 21.6869
Average of Battle Time (Db): 22.6317

Df/Db: 8.28864%
Dd/Db: 95.8252%
